Abundant,[ə'bʌndənt],adj.丰富的;充裕的
Accelerate,[ək'seləreɪt],v.加速;促进
Accumulate,[ə'kjuːmjəleɪt],v.积累;积聚
Adjacent,[ə'dʒeɪsnt],adj.邻近的;毗连的
Advent,['ædvent],n.出现;到来
Advocate,['ædvəkeɪt],v.提倡;主张
Aggregate,['æɡrɪɡət],n.总计 v.集合
Altitude,['æltɪtuːd],n.高度;海拔
Analogous,[ə'næləɡəs],adj.类似的;可比的
Ancestor,['ænsestər],n.祖先;原型
Annihilate,[ə'naɪəleɪt],v.歼灭;毁灭
Anomaly,[ə'nɒməli],n.异常;不规则
Arid,['ærɪd],adj.干旱的;贫瘠的
Artifact,['ɑːrtɪfækt],n.人造物品;手工制品
Attribute,[ə'trɪbjuːt],v.归因于 n.属性
Augment,[ɔːɡ'ment],v.增加;增大
Austere,[ɔː'stɪər],adj.严厉的;简朴的
Authentic,[ɔː'θentɪk],adj.真正的;可信的
Bizarre,[bɪ'zɑːr],adj.奇异的;古怪的
Boom,[buːm],n.繁荣;激增
Boundary,['baʊndri],n.边界;范围
Burgeon,['bɜːrdʒən],v.萌芽;急速成长
Camouflage,['kæməflɑːʒ],n.伪装;掩饰
Capable,['keɪpəbl],adj.有能力的
Cavity,['kævəti],n.腔;洞
Cease,[siːs],v.停止;终止
Chaos,['keɪɒs],n.混乱;混沌
Cluster,['klʌstər],n.群;簇 v.丛生
Cohesion,[koʊ'hiːʒn],n.凝聚力;团结
Coincide,[ˌkoʊɪn'saɪd],v.一致;巧合
Collision,[kə'lɪʒn],n.碰撞;冲突
Colossal,[kə'lɒsl],adj.巨大的;庞大的
Commodity,[kə'mɒdəti],n.商品;日用品
Compact,[kəm'pækt],adj.紧凑的;紧密的
Comparable,['kɒmpərəbl],adj.可比较的;比得上的
Complement,['kɒmplɪment],v.补足;补充
Complex,['kɒmpleks],adj.复杂的 n.综合体
Component,[kəm'poʊnənt],n.成分;组件
Conceal,[kən'siːl],v.隐藏;隐瞒
Concentrate,['kɒnsntreɪt],v.集中;浓缩
Conclusive,[kən'kluːsɪv],adj.决定性的;确凿的
Conducive,[kən'duːsɪv],adj.有助于...的
Configuration,[kənˌfɪɡjə'reɪʃn],n.配置;结构
Confine,[kən'faɪn],v.限制;禁闭
Consequent,['kɒnsɪkwənt],adj.随之发生的
Considerable,[kən'sɪdərəbl],adj.相当大的;重要的
Consist,[kən'sɪst],v.由...组成
Conspicuous,[kən'spɪkjuəs],adj.显著的
Constant,['kɒnstənt],adj.恒定的;不断的
Constitute,['kɒnstɪtuːt],v.构成;建立
